02:27:50 g2-pg-baseline port=55729 exit=0 Tests  17 passed (17)
02:27:54 g2-pg-contracts port=55729 exit=0 Tests  18 passed (18)
02:27:57 g25-pg-contracts port=55729 exit=0 Tests  2 passed (2)
02:28:00 g27-pg-contracts port=55729 exit=0 Tests  1 passed (1)
02:28:03 g29-member-dependency-pg port=55729 exit=0 Tests  2 passed (2)
02:28:06 g3-scope-composition-pg port=55729 exit=0 Tests  2 passed (2)
02:28:09 g3p02-pg-contracts port=55729 exit=0 Tests  5 passed (5)
02:28:12 g3p03-pg-contracts port=55729 exit=0 Tests  5 passed (5)
02:28:15 g3p04-pg-contracts port=55729 exit=0 Tests  4 passed (4)
02:28:18 g4-read-envelope-pg-contracts port=55729 exit=0 Tests  5 passed (5)
02:28:21 g4-unit02-pg-contracts port=55729 exit=0 Tests  1 passed (1)
02:28:24 post-g3-clearability-pg-contracts port=55729 exit=0 Tests  2 passed (2)
