group	files	cells
CS01_EXTENSION_A_COUNTS	1	6
CS01_EXTENSION_B_COUNTS	1	4
CS01_EXTENSION_COMPOSITION_COUNTS	1	4
CS01_STRUCTURAL_REFERENCE_COUNTS	1	10
CS02_REPEATED_OCCURRENCE_COUNTS	1	5
CS02_STRUCTURE_MEASUREMENT_COUNTS	1	1
CS03_EXTENSION_CAMPAIGN_COUNTS	1	1
CS03_EXTENSION_SUPPORT_COUNTS	2	47
CS03_MEMBER_SCOPE_COUNTS	1	8
G1_BASELINE_COUNTS	4	141
G1_COMPARISON_COUNTS	4	36
G1_CONTRACT_COUNTS	5	143
G1_GENERATED_COUNTS	2	35
G1_TRANSPORT_COUNTS	1	44
G25_CONTRACT_COUNTS	1	6
G25_PG_CONTRACT_COUNTS	1	2
G27_CONTRACT_COUNTS	1	6
G27_MYSQL_CONTRACT_COUNTS	1	1
G27_PG_CONTRACT_COUNTS	1	1
G27_PROVIDER_CONTRACT_COUNTS	1	1
G29_DEPENDENCY_BOUNDARY_COUNTS	1	4
G29_DEPENDENCY_CHOICE_COUNTS	1	10
G29_MEMBER_DEPENDENCY_COUNTS	1	14
G29_MEMBER_DEPENDENCY_MYSQL_COUNTS	1	2
G29_MEMBER_DEPENDENCY_PG_COUNTS	1	2
G29_MEMBER_DEPENDENCY_PROVIDER_COUNTS	1	2
G29_RESULT_PROGRESS_COUNTS	1	2
G2_BASELINE_COUNTS	16	216
G2_CONTRACT_COUNTS	16	216
G2_DIAGNOSTIC_COUNTS	1	2
G2_GENERATED_COUNTS	2	52
G2_MYSQL_BASELINE_COUNTS	4	13
G2_MYSQL_CONTRACT_COUNTS	4	13
G2_PG_BASELINE_COUNTS	6	17
G2_PG_CONTRACT_COUNTS	6	18
G2_PROVIDER_BASELINE_COUNTS	3	11
G2_PROVIDER_CONTRACT_COUNTS	3	11
G2_TRANSPORT_COUNTS	1	16
G3P02_CONTRACT_COUNTS	1	4
G3P02_MYSQL_CONTRACT_COUNTS	1	5
G3P02_PG_CONTRACT_COUNTS	1	5
G3P02_PROVIDER_CONTRACT_COUNTS	1	5
G3P03_CONTRACT_COUNTS	1	6
G3P03_MYSQL_CONTRACT_COUNTS	1	5
G3P03_PG_CONTRACT_COUNTS	1	5
G3P03_PROVIDER_CONTRACT_COUNTS	1	5
G3P04_CONTRACT_COUNTS	1	5
G3P04_MYSQL_CONTRACT_COUNTS	1	4
G3P04_PG_CONTRACT_COUNTS	1	4
G3P04_PROVIDER_CONTRACT_COUNTS	1	4
G3P04_REVIEW_CONTRACT_COUNTS	1	5
G3P05_CONTRACT_COUNTS	3	21
G3P05_RECURSIVE_READ_FIT_COUNTS	1	6
G3P05_SELECTOR_DEPENDENCY_COUNTS	1	11
G3P05_VARIANT_COLLECTION_ORDER_COUNTS	1	4
G3_AUTHOR_EXECUTION_REGRESSION_COUNTS	1	3
G3_BULK_RESULT_BOUNDARY_COUNTS	1	5
G3_BULK_SERIES_COUNTS	1	6
G3_DEPTH_RECURRENCE_COUNTS	1	6
G3_EXECUTION_REVIEW_COUNTS	1	6
G3_GENERATED_MINIMIZATION_COUNTS	1	1
G3_GENERATED_SMOKE_COUNTS	1	6
G3_GENERATED_TRANSPORT_SMOKE_COUNTS	1	1
G3_SCOPE_COMPOSITION_MYSQL_COUNTS	1	2
G3_SCOPE_COMPOSITION_PG_COUNTS	1	2
G3_SCOPE_COMPOSITION_PROVIDER_COUNTS	1	2
G3_SCOPE_FAILURE_COUNTS	1	2
G3_SUPPRESSION_RETRY_COUNTS	1	2
G3_TRANSACTION_ARRAY_COUNTS	1	4
G4_GENERATION_SELFTEST_COUNTS	1	6
G4_NATIVE_MYSQL_COUNTS	1	5
G4_NATIVE_PG_COUNTS	1	5
G4_NATIVE_PROVIDER_COUNTS	1	5
G4_PARITY_COUNTS	17	136
G4_READ_AGGREGATE_COUNTS	1	5
G4_READ_CODEC_COUNTS	1	12
G4_READ_COUNTS	8	62
G4_READ_FILTERS_COUNTS	1	13
G4_READ_OPERATIONS_COUNTS	1	11
G4_READ_ORDERING_COUNTS	1	5
G4_READ_PAGINATION_COUNTS	1	6
G4_READ_PROJECTION_COUNTS	1	7
G4_READ_RECURSIVE_FIT_COUNTS	1	3
G4_UNIT01_AUTHOR_COUNTS	10	83
G4_UNIT01_REVIEW_COUNTS	29	198
G4_UNIT02_AUTHOR_COUNTS	21	131
G4_UNIT02_MYSQL_COUNTS	3	17
G4_UNIT02_PG_COUNTS	1	1
POST_G3_CLEARABILITY_CONTRACT_COUNTS	1	4
POST_G3_CLEARABILITY_MYSQL_CONTRACT_COUNTS	1	2
POST_G3_CLEARABILITY_PG_CONTRACT_COUNTS	1	2
POST_G3_CLEARABILITY_PROVIDER_COUNTS	1	2
POST_G3_HISTORY_ANALYSIS_COUNTS	1	5
POST_G3_PROJECTION_PREPARATION_COUNTS	1	4
POST_G3_SCHEMA_VIEW_COUNTS	1	1
POST_G3_SELECTOR_PREPARATION_COUNTS	1	4

RAPTOR3_PROJECT_TESTS 187
RAPTOR3_PROVIDER_TESTS 8
RAPTOR3_LIVE_PROVIDER_TESTS 29
RAPTOR3_DETERMINISTIC_TESTS 178
RAPTOR3_TESTS 2
