fixed exit=0  Tests 758 passed (758)
relation-key-update-legality-occupied-to-one exit=0  Tests 7 passed (7)
relation-key-update-legality-occupied-to-many exit=0  Tests 6 passed (6)
relation-key-update-legality-referenced-column exit=1  Tests 1 failed | 3 passed (4)
relation-key-update-legality-transition-arm exit=1  Tests 1 failed | 6 passed (7)
nested-write-conformance-to-one exit=0  Tests 19 passed (19)
nested-write-conformance-fk exit=1  Tests 1 failed | 27 passed (28)
nested-write-conformance-membership exit=1  Tests 13 failed | 17 passed (30)
nested-write-conformance-root-dependency exit=1  Tests 6 failed | 24 passed (30)
nested-write-conformance-m2m exit=1  Tests 5 failed | 29 passed (34)
nested-write-conformance-transitive exit=1  Tests 6 failed | 25 passed (31)
parent-held-lookup exit=1  Tests 10 failed | 46 passed (56)
shared-pk-update-root exit=1  Tests 16 failed | 55 passed (71)
polymorphic-collection-write-family exit=1  Tests 15 failed | 73 passed (88)
pin exit=0  Tests 2 passed (2)
